QUEST_LV_0500_20190513_000001		누군가는 해야 할 일이면 다른 사람이 했으면 좋겠어요.{nl}왜 저한태 이런 걸 시키는 걸까요.				케도라 상단원 이네타
QUEST_LV_0500_20210119_000688	在寶嵐林間小路使用拉達女神的祝福尋找注視者的黑色水晶	보난 숲길에서 라다 여신의 축복을 사용해 주시자의 검은 수정 찾기				
QUEST_LV_0500_20210119_000689	仍可感受到因莫提尼斯龜裂而流散的魔力。{nl}請在尚未調查的寶嵐林間小路尋找注視者的黑色水晶。	머티니스 균열로 스며드는 마력이 여전히 느껴집니다{nl}아직 조사하지 않은 보난 숲길에서 주시자의 검은 수정을 찾아보세요				
QUEST_LV_0500_20210119_000690	在寶嵐林間小路尋找到注視者的黑色水晶了，{nl}請再次使用拉達女神的祝福破壞注視者的黑色水晶。	보난 숲길에서 주시자의 검은 수정을 찾아냈습니다{nl}다시 라다 여신의 축복을 사용하여 주시자의 검은 수정을 파괴하세요				
QUEST_LV_0500_20210119_000691	破壞黑色水晶	검은 수정을 파괴하기				
QUEST_LV_0500_20210119_000692	雖失去了拉達女神的祝福，但不管怎麼樣還是要破壞注視者的黑色水晶。{nl}請破壞注視者的黑色水晶。	라다 여신의 축복을 잃었지만, 어떻게든 주시자의 검은 수정을 파괴해야만 합니다{nl}주시자의 검은 수정을 파괴하세요				
QUEST_LV_0500_20210119_000693	殲滅襲擊的魔族	습격한 마족들을 처치하기				
QUEST_LV_0500_20210119_000694	為了阻止莫提尼斯的採集，拉達女神想要破壞注視者的黑色水晶。{nl}請你去處理侵攻歐勒夏的魔族。	라다 여신은 머티니스 채굴을 막기 위해 주시자의 검은 수정을 파괴할 생각입니다{nl}당신은 오르샤를 침공한 마족들을 처리하세요				
QUEST_LV_0500_20210119_000695	在你對抗侵攻歐勒夏的魔族同時，拉達女神找到了自己的目標。{nl}請與拉達女神對話。	당신이 오르샤를 침공한 마족들을 상대하는 동안 라다 여신은 자신의 목표를 이룬 듯합니다{nl}라다 여신과 대화하세요				
QUEST_LV_0500_20210119_000696	請與拉達女神對話	라다 여신과 대화하세요				
QUEST_LV_0500_20210119_000697	拉達女神成功地破壞了最後的黑色水晶。{nl}請與拉達女神對話。	라다 여신이 마지막 검은 수정을 파괴하는 데 성공했습니다{nl}라다 여신과 이야기하세요				
QUEST_LV_0500_20210119_000698	為了前往帕歐皮斯渡口， 前往寶嵐林間小路的上方道路	파우피스 나루로 가기 위해 보난 숲길의 윗길로 올라가기				
QUEST_LV_0500_20210119_000699	拉達女神為了回收莫提尼斯，而你為了破壞魔族的目的，必須要尋找出莫提尼斯儲藏所並破壞它。{nl}為了進入森林深處，現在必須要前往帕歐皮斯渡口。	머티니스 저장소를 찾아 라다 여신은 머티니스의 회수를 위해, 당신은 마족의 목적을 무산시키기 위해 파괴해야합니다{nl}숲 깊이 들어가기 위해 지금은 파우피스 나루로 향해야 합니다				
QUEST_LV_0500_20210119_000700	拉達女神為了回收莫提尼斯，而你為了破壞魔族的目的，必須要尋找出莫提尼斯儲藏所並破壞它。{nl}為了進入森林深處，現在必須要前往帕歐皮斯渡口。	머티니스 저장소를 찾아 라다 여신은 머티니스의 회수를 위해, 당신은 마족의 목적을 무산시키기 위해 파괴해야 합니다{nl}숲 깊이 들어가기 위해 지금은 파우피스 나루로 향해야 합니다				
QUEST_LV_0500_20210119_000701	消滅達勒巴斯史梅修	다르바스 스매셔 처치				
QUEST_LV_0500_20210119_000702	佔據帕歐皮斯渡口的勢力	파우피스 나루를 점거한 세력들				
QUEST_LV_0500_20210119_000703	在帕歐皮斯渡口與拉達女神見面	파우피스 나루에서 라다 여신을 만나기				
QUEST_LV_0500_20210119_000704	拉達女神去追擊消失的注視者了。{nl}需要前進森林的更深處，因此請你前往帕歐皮斯渡口與拉達女神見面。	사라진 주시자를 라다 여신이 쫓아갔습니다{nl}숲의 더 깊은 곳으로 갔을 테니 파우피스 나루로 가서 라다 여신을 만나세요				
QUEST_LV_0500_20210119_000705	與拉達女神對話	라다 여신과 이야기하기				
QUEST_LV_0500_20210119_000706	魔族們正在帕歐皮斯渡口互相對立著。{nl}請與拉達女神對話。	파우피스 나루에는 마족들끼리 서로 대치 중입니다{nl}라다 여신과 이야기하세요				
QUEST_LV_0500_20210119_000707	從拉達女神那裡得知帕歐皮斯渡口的情況了。{nl}請與拉達女神對話，確認從這裡開始各自要做的事情。	파우피스 나루의 상황을 라다 여신으로부터 들었습니다{nl}여기서부터 각자 할 일이 무엇일지 라다 여신과 이야기하세요				
QUEST_LV_0500_20210119_000708	在沒有人跡的渡口殲滅魔族並獲得上級的標誌	인적없는 나루터에서 마족들을 처치하고 상급자의 증표 획득하기				
QUEST_LV_0500_20210119_000709	必須要確認操控卡魯塔斯部下的存在到底是誰。{nl}請殲滅比弗利奧特卡守門人並回收他們持有的上級的標誌。	카르타스의 부하를 움직이는 존재가 누구인지 확인해야 합니다{nl}비블리오테카 키퍼를 처치하고 그들이 가지고 있는 상급자의 증표를 회수하세요				
QUEST_LV_0500_20210119_000710	殲滅比弗利奧特卡守門人並獲得上級的標誌	비블리오테카 키퍼를 처치하고 상급자의 증표 획득				
QUEST_LV_0500_20210119_000711	在帕瑟蘭隱居地殲滅魔族並獲得上級的標誌	파슬랍 은거지에서 마족들을 처치하고 상급자의 징표를 얻기				
QUEST_LV_0500_20210119_000712	在沒有人跡的渡口殲滅魔族並收集上級的標誌。{nl}請殲滅佔據帕瑟蘭隱居地的魔族，並收集帕瑟蘭隱居地魔族的上級的標誌。	인적 없는 나루터에서 마족들을 처치하고 상급자의 징표를 모았습니다{nl}파슬랍 은거지를 점거하고 있는 마족들을 처치하고 파슬랍 은거지 마족들의 상급자 징표를 모으세요				
QUEST_LV_0500_20210119_000713	與前往帕瑟蘭隱居地的拉達女神對話	파슬랍 은거지로 온 라다 여신과 이야기하세요				
QUEST_LV_0500_20210119_000714	充分地收集到兩勢力的上級的標誌了。{nl}請去與正好來到帕瑟蘭隱居地的拉達女神對話。	두 세력의 상급자 징표를 충분히 모았습니다{nl}마침 파슬랍 은거지로 온 라다 여신과 이야기하세요				
QUEST_LV_0500_20210119_000715	殲滅賓美狄絲獲得上級的標誌	빈미디스를 처치하고 상급자의 징표 획득				
QUEST_LV_0500_20210119_000716	從拉達女神那裡確認操控魔族的分別是魔王巴以卡與魔神羅迦娜。{nl}請與拉達女神繼續對話。	라다 여신으로부터 마족들을 움직이고 있는 건 각각 마왕 바이가와 마신 라가나임을 확인했습니다{nl}라다 여신과 계속 이야기하세요				
QUEST_LV_0500_20210119_000717	調查洛渾沙峭壁	로혼사 절벽을 조사하기				
QUEST_LV_0500_20210119_000718	不管羅迦娜和巴以卡的目標是什麼，都得阻止莫提尼斯落入魔族的手中。{nl}為了盡快找到莫提尼斯儲藏所必須要調查帕歐皮斯渡口。{nl}請調查洛渾沙峭壁。	라가나와 바이가가 어떤 목적이든 머티니스가 마족의 손에 넘어가는 건 막아야 할 일입니다{nl}서둘러 머티니스 저장소를 찾기 위해 파우피스 나루를 조사해야 합니다{nl}로혼사 절벽을 조사하세요				
QUEST_LV_0500_20210119_000719	追隨拉達女神和羅迦娜前往監視塔	라다 여신과 라가나를 쫓아 감시탑으로 가기				
QUEST_LV_0500_20210119_000720	羅迦娜消失後拉達女神也追上跟著消失了，{nl}他們兩人的氣息是消失在監視塔方向的，必須要跟著追擊到監視塔才行。	라가나가 사라지자 라다 여신이 쫓기 위해 사라졌습니다{nl}둘의 기운이 감시탑 쪽으로 사라졌으니 감시탑으로 쫓아가야 합니다				
QUEST_LV_0500_20210119_000721	請與巴以卡對話	바이가와 대화하세요				
QUEST_LV_0500_20210119_000722	雖是要追上羅迦娜和拉達女神，但在監視塔那裡遇見的卻是魔王巴以卡。{nl}雖不知道巴以卡為什麼會在這裡，但至少巴以卡沒有想要展開戰鬥。{nl}看來可以與巴以卡進行對話。	라가나와 라다 여신을 쫓아왔지만 감시탑에서 만난 건 다름아닌 마왕 바이가였습니다{nl}바이가가 왜 이곳에 있는지는 모르지만, 적어도 지금 바이가는 싸울 생각이 있어 보이지 않습니다{nl}바이가와 대화를 해보는 게 좋겠습니다				
QUEST_LV_0500_20210119_000723	雖是要追上羅迦娜和拉達女神，但在監視塔那裡遇見的卻是魔王巴以卡。{nl}雖不知道巴以卡為什麼會在這裡，但至少巴以卡沒有想要展開戰鬥。{nl}看來可以與巴以卡進行對話。	라가나와 라다 여신을 쫓아왔지만, 감시탑에서 만난 건 다름 아닌 마왕 바이가였습니다{nl}바이가가 왜 이곳에 있는지는 모르지만, 적어도 지금 바이가는 싸울 생각이 있어 보이지 않습니다{nl}바이가와 대화를 해보는 게 좋겠습니다				
QUEST_LV_0500_20210119_000724	往監視塔的右邊道路去追尋拉達女神	감시탑의 오른쪽 길로 라다 여신을 쫓아가기				
QUEST_LV_0500_20210119_000725	巴以卡向你再次如同以前一樣提出了協商。{nl}雖不能完全相信他，但以目前來看最好不要與他為敵。{nl}現在尋找拉達女神是首要之事。	바이가는 당신에게 이전처럼 또다시 협상을 제안했습니다{nl}믿을 수 있는 건 아니지만, 현재로서는 그와 대적해서 좋을 게 없습니다{nl}지금은 라다 여신을 찾는 게 우선입니다				
QUEST_LV_0500_20210119_000726	請告訴拉達女神與巴以卡對話的內容	라다 여신에게 바이가와 나누었던 이야기를 전하세요				
QUEST_LV_0500_20210119_000727	調查附近的莫提尼斯龜裂	근처의 머티니스의 균열을 조사하기				
QUEST_LV_0500_20210119_000728	拉達女神在與羅迦娜發生衝突後，看似需要短暫的休息恢復。{nl}正好附近有採集痕跡的莫提尼斯龜裂。{nl}請去確認是否有可成為線索的東西。	라다 여신은 라가나와의 충돌 이후 잠시동안 회복이 필요해 보입니다{nl}마침 근처에는 채굴한 흔적이 있는 머티니스 균열이 있습니다{nl}단서가 될만한 게 있는지 확인해 보세요				
QUEST_LV_0500_20210119_000729	回去找拉達女神並告知調查結果	라다 여신에게 돌아가 조사한 결과를 알려주기				
QUEST_LV_0500_20210119_000730	調查附近莫提尼斯龜裂的結果是查出了移動莫提尼斯的痕跡與其移動方向。{nl}請將調查結果告知拉達女神。	근처의 머티니스 균열을 조사한 결과 머티니스를 옮긴 흔적과 그 방향을 알아냈습니다{nl}라다 여신에게 돌아가 조사 결과를 알려주세요				
QUEST_LV_0500_20210119_000731	詢問拉達女神的狀態	라다 여신의 상태를 묻기				
QUEST_LV_0500_20210119_000732	透過周遭莫提尼斯龜裂的調查，得知開採的莫提尼斯被移動到喀貝斯街道了。{nl}在離開之前請去確認拉達女神的狀態。	주변 머티니스 균열 조사로 채굴된 머티니스가 갓베스 가도를 향해 갔다는 사실을 알아냈습니다{nl}자리를 뜨기 전에, 라다 여신의 상태를 확인하세요				
QUEST_LV_0500_20210119_000733	調查喀貝斯街道的莫提尼斯龜裂	갓베스 가도의 머티니스 균열 조사				
QUEST_LV_0500_20210119_000734	拉達女神需要再休息恢復一下。{nl}但現在時間並不充裕，因此請你先前往喀貝斯街道。	라다 여신은 조금 더 회복할 시간이 필요합니다{nl}그러나 시간이 많지 않은 만큼 당신은 먼저 갓베스 가도로 향해야 합니다				
QUEST_LV_0500_20210119_000735	調查莫提尼斯龜裂	머티니스 균열을 조사하기				
QUEST_LV_0500_20210119_000736	整理了喀貝斯街道的亂戰了，{nl}請調查莫提尼斯龜裂。	갓베스 가도의 난전을 무사히 정리했습니다{nl}머티니스 균열을 조사하세요				
QUEST_LV_0500_20210119_000737	在伊薩巫古迪森林入口與拉達女神見面	이사우고티 숲 입구에서 라다 여신을 만나기				
QUEST_LV_0500_20210119_000738	車輪痕跡是朝向伊薩巫古迪森林的，{nl}請在伊薩巫古迪森林入口與拉達女神見面。	수레의 바퀴 자국이 이사우고티 숲을 향하고 있습니다{nl}이사우고티 숲 입구에서 라다 여신을 만나세요				
QUEST_LV_0500_20210119_000739	在拉伊瑪的聖所與拉達女神見面	라이마의 성소에서 라다 여신을 만나기				
QUEST_LV_0500_20210119_000740	在持續的戰鬥中，除了你以外就連與羅迦娜對抗的拉達女神都需要整頓一下裝備。{nl}請回到安全的拉伊瑪的聖所去找拉達女神。	계속된 전투로 당신은 물론, 라가나와의 전투를 겪은 라다 여신은 재정비가 필요하다고 판단했습니다{nl}안전한 라이마의 성소로 돌아가 라다 여신을 찾으세요				
QUEST_LV_0500_20210119_000741	在Episode13地區中殲滅變異型怪物 2000隻	Episode13 지역에서 변이형 몬스터 2000마리 처치				
QUEST_LV_0500_20210119_000742	殲滅Episdoe13地區的變異型怪物	Episdoe13 지역의 변이형 몬스터 처치				
QUEST_LV_0500_20210119_000743	在Episode13地區中殲滅昆蟲、惡魔、植物型怪物 2000隻	Episode13 지역에서 곤충, 악마, 식물형 몬스터 2000마리 처치				
QUEST_LV_0500_20210119_000744	殲滅Episode13地區的昆蟲、惡魔、植物型怪物	Episode13 지역의 곤충, 악마, 식물형 몬스터 처치				
QUEST_LV_0500_20210119_000745	在Episode13地區中殲滅野獸型怪物 2000隻	Episode13 지역에서 야수형 몬스터 2000마리 처치				
QUEST_LV_0500_20210119_000746	殲滅Episode13地區的野獸型怪物	Episode13 지역의 야수형 몬스터 처치				
QUEST_LV_0500_20210119_000747	在Episode13地區中殲滅大型怪物 3000隻	Episode13 지역에서 대형 몬스터 3000마리 처치				
QUEST_LV_0500_20210119_000748	殲滅Episode13地區的大型怪物	Episode13 지역의 대형 몬스터 처치				
QUEST_LV_0500_20210119_000749	在Episode13地區中殲滅中型怪物 3000隻	Episode13 지역에서 중형 몬스터 3000마리 처치				
QUEST_LV_0500_20210119_000750	殲滅Episode13地區的中型怪物	Episode13 지역의 중형 몬스터 처치				
QUEST_LV_0500_20210119_000751	在Episode13地區中殲滅小型怪物 3000隻	Episode13 지역에서 소형 몬스터 3000마리 처치				
QUEST_LV_0500_20210119_000752	殲滅Episode13地區的小型怪物	Episode13 지역의 소형 몬스터 처치				
QUEST_LV_0500_20210119_000753	在Episode13地區殲滅怪物 8000隻	Episode13 지역에서 몬스터 8000마리 처치				
QUEST_LV_0500_20210119_000754	殲滅Episode13地區的怪物 	Episode13 지역의 몬스터 처치				
QUEST_LV_0500_20210119_000755	完成貝勒尼凱碎片副本 50層以上	베르니케 파편 던전 50층 이상 클리어				
QUEST_LV_0500_20210119_000756	完成召喚獸地下城 6區間以上	어시스터 던전 6구간 이상 클리어				
QUEST_LV_0500_20210119_000757	完成1人遠征隊	1인 레이드 클리어				
QUEST_LV_0500_20210119_000758	完成傳說遠征隊 10次	레전드 레이드 10회 클리어				
QUEST_LV_0500_20210119_000759	達成每週BOSS遠征隊累積傷害 5億以上	주간 보스 레이드 누적 대미지 5억 이상 달성				
QUEST_LV_0500_20210119_000760	參加合作戰 2次	협동전 2회 참가				
QUEST_LV_0500_20210119_000761	完成等級地下城 10次	레벨 던전 10회 클리어				
